loinc,count
777-3,1471627
2160-0,1470882
48642-3,1433764
48643-1,1433763
2823-3,1393759
4544-3,1391115
718-7,1391048
26464-8,1381729
26453-1,1380775
30384-2,1380730
30428-7,1380727
28540-3,1380721
28539-5,1380721
2951-2,1370155
2345-7,1369115
17861-6,1366745
3094-0,1365909
2028-9,1365104
2075-0,1365095
1751-7,1061196
1742-6,1061126
1975-2,1057261
6768-6,1051994
736-9,857860
770-8,857704
5905-5,857577
26450-7,856097
30180-4,855874
19123-9,739881
32623-1,715032
48767-8,658679
2532-0,543430
2777-1,513984
2341-6,485435
33037-3,381395
26474-7,366166
30451-9,364898
26484-6,364811
26449-9,363846
26444-0,363684
26499-4,331915
6742-1,158507
2465-3,148976
5902-2,138200
6301-6,138119
2571-8,122515
14629-0,121981
5803-2,117476
14979-9,113578
20409-9,111568
10331-7,109075
883-9,109075
53326-5,106871
25428-4,106090
5899-0,100013
57735-3,94776
11253-2,94263
30247-1,93311
2514-8,92336
5770-3,92280
20408-1,92259
5802-4,92246
5818-0,92232
20627-6,92144
5778-6,92144
5821-4,92039
25145-4,92039
40482-2,92039
13945-1,92039
46133-5,92039
9842-6,92039
26508-2,86601
50012-4,84537
2093-3,76624
28541-1,73565
2857-1,71304
1989-3,70153
29247-4,70135
31208-2,67999
2472-9,56062
2458-8,55900
5894-1,55438
9830-1,54605
3024-7,54485
58413-6,49640
2089-1,48574
26446-5,44133
2039-6,43575
26498-6,43448
8310-5,40107
2744-1,36899
1960-4,36884
2019-8,36884
2703-7,36883
2708-6,36649
26507-4,32340
50984-4,31301
4548-4,31199
39111-0,30677
45353-0,30676
66746-9,30676
38256-4,29857
2685-6,29628
12851-2,29622
13983-2,29622
13982-4,29622
13981-6,29622
35706-1,29622
33358-3,29622
29495-9,29061
47938-6,28643
40844-3,28423
33944-0,28423
36916-5,28423
14357-8,28226
1925-7,27843
27353-2,27241
11156-7,27164
53809-0,26766
4092-3,25434
19913-3,25274
30433-7,25118
42216-2,25053
2157-6,23621
19927-3,23052
3040-3,22863
1798-8,21974
10839-9,21366
2276-4,21017
17842-6,20861
17849-1,20704
33516-6,20685
14196-0,20685
14338-8,20277
20396-8,19593
4542-7,19343
3255-7,19024
19926-5,18355
30446-9,18336
20124-4,17776
4537-7,17740
55305-7,17723
10334-1,17538
30934-4,17502
20139-2,17289
20077-4,16918
13969-1,16829
35674-1,16700
30376-8,16179
19834-1,15757
20112-9,15168
516-5,15136
11545-1,15058
890-4,14212
5196-1,13758
19877-0,13677
20157-4,13672
35383-9,13409
1952-1,13388
2888-6,12898
14959-1,12761
3051-0,12723
19911-7,12666
19916-6,12604
48159-8,12592
13955-0,12592
51953-8,12586
47982-4,12223
2731-8,12194
2132-9,11780
19867-1,11695
19843-2,11692
19862-2,11689
20146-7,11688
19924-0,11627
524-9,11466
6932-8,11428
133-9,11390
1988-5,11243
26346-7,11229
279-0,10935
8098-6,10814
508-2,10811
41925-9,10776
24108-3,10686
3053-6,10616
44099-0,10047
28-1,9975
267-5,9970
3013-0,9659
12-5,9566
6875-9,9531
412-7,9429
6652-2,9413
5124-3,9383
11031-2,9147
2284-8,9113
51730-0,9100
76-0,8927
2498-4,8785
2502-3,8777
3520-4,8075
5193-8,8071
10333-3,8048
17607-3,8048
806-0,8048
55794-2,8048
26454-9,8048
26487-9,7914
2880-3,7886
2342-4,7884
42176-8,7870
3167-4,7852
363-2,7797
5794-3,7719
53962-7,7597
185-9,7444
593-4,7349
13362-9,7338
24113-3,7277
62365-2,7096
44757-3,7088
20507-0,7053
26524-9,7018
20079-0,6962
496-0,6906
13950-1,6837
19930-7,6782
2991-8,6589
2986-8,6589
13457-7,6493
14836-1,6443
233-7,6317
2324-2,6269
14136-6,6133
13952-7,6126
2164-2,5907
19153-6,5881
30211-7,5881
15179-5,5762
193-3,5688
29541-0,5617
24013-5,5611
2143-6,5521
15067-2,5457
3026-2,5292
38889-2,5226
67723-7,5217
383-0,5041
1839-0,5039
30453-5,5020
6644-9,4993
2955-3,4882
2118-8,4869
2161-8,4851
7018-5,4774
14564-9,4762
14563-1,4762
14565-6,4762
20447-9,4702
49301-5,4700
20153-3,4689
20152-5,4689
19875-4,4688
20150-9,4685
29991-7,4657
2162-6,4538
50398-7,4510
22341-2,4495
2243-4,4437
2518-9,4405
55463-4,4354
24467-3,4342
2112-1,4303
34581-9,4301
58443-3,4245
15069-8,4146
10704-5,4050
10501-5,4040
20578-1,3980
49341-1,3976
13440-3,3865
30427-9,3803
29950-3,3784
51913-2,3742
2692-2,3717
21198-7,3716
26347-5,3671
26348-3,3658
2746-6,3396
2705-2,3395
2021-4,3390
14627-4,3390
3016-3,3364
35671-7,3362
2711-0,3341
8251-1,3311
2695-5,3224
9811-1,3215
29254-0,3145
48345-3,3106
8099-4,3083
10535-3,2993
2106-3,2930
3084-1,2915
3034-6,2899
2141-0,2887
44805-0,2860
45285-4,2805
12190-5,2802
9335-1,2799
12254-9,2687
55793-4,2687
26455-6,2687
46337-2,2647
46336-4,2615
48398-2,2604
1649-3,2579
39528-5,2540
38917-1,2540
29909-9,2540
40982-1,2540
29908-1,2540
29910-7,2540
30075-6,2540
30076-4,2540
49524-2,2540
49521-8,2540
7993-9,2540
3968-5,2519
5221-7,2459
56888-1,2410
41394-8,2380
61099-8,2379
61100-4,2379
2881-1,2369
1971-1,2357
116-4,2356
43380-5,2274
31153-0,2274
33510-9,2274
42595-9,2253
23641-4,2238
5096-3,2223
56850-1,2183
20607-8,2171
14135-8,2171
33903-6,2161
19072-8,2147
12180-6,2147
15205-8,2123
26523-1,2120
700-5,2088
2529-6,2056
6874-2,2053
18488-7,2053
13717-4,2053
2344-0,2035
2524-7,1961
31790-9,1923
38180-6,1919
30522-7,1893
48174-7,1873
141-2,1746
3174-0,1718
11011-4,1710
45323-3,1703
2283-0,1700
58450-8,1605
1763-2,1591
13355-3,1582
28544-5,1550
38370-3,1524
3209-4,1486
20448-7,1473
64111-8,1470
12841-3,1430
21347-0,1411
16982-1,1411
1795-4,1403
4090-7,1398
21215-9,1396
2357-2,1368
29951-1,1343
38176-4,1343
38169-9,1343
29947-9,1343
41759-2,1343
2889-4,1343
29946-1,1343
38178-0,1343
29945-3,1343
29899-2,1343
38177-2,1343
46418-0,1341
22666-2,1341
59471-3,1340
41171-0,1337
5014-6,1332
2193-1,1284
1986-9,1263
39017-9,1254
15061-5,1241
2999-1,1218
10378-8,1218
2519-7,1199
12228-3,1196
53731-6,1148
4485-9,1146
7799-0,1145
1761-6,1143
4498-2,1143
30471-7,1137
1747-5,1079
13967-5,1044
5236-5,1026
38492-5,982
3665-7,971
13047-6,953
34187-5,945
29965-1,913
26452-3,891
32516-7,871
8101-8,871
20599-7,871
15087-0,869
3274-8,866
2828-2,857
2900-9,841
4086-5,831
17838-4,809
22602-7,784
2191-5,774
33935-8,767
1644-4,764
3204-5,733
15432-8,724
2990-0,724
4621-9,722
35669-1,714
800-3,706
5880-0,696
5157-3,694
29966-9,670
31147-2,670
21518-6,670
12183-0,669
13522-8,658
161-0,658
2078-4,656
2079-2,656
4059-2,654
46128-5,649
41488-8,646
29958-6,638
4057-6,630
20593-0,625
1848-1,625
42189-1,625
30083-0,624
22295-0,624
5159-9,624
15363-5,613
1823-4,606
11038-7,606
2460-4,603
9572-9,592
49896-4,590
18310-3,587
21026-0,587
4575-7,587
4547-6,587
4576-5,587
4625-0,587
4551-8,587
4563-3,587
25474-8,584
25489-6,584
41407-8,581
13636-6,580
26528-0,569
26530-6,566
32713-0,555
19113-0,552
31625-7,547
53019-6,547
26287-3,546
41650-3,541
11115-3,537
1992-7,537
55784-3,537
13964-2,533
29591-5,522
2742-5,520
32717-1,520
2915-7,508
56540-8,491
41276-7,486
3128-6,483
5255-5,481
59465-5,481
5256-3,481
2963-7,479
56537-4,472
11040-3,459
2147-7,459
11155-9,459
30166-3,455
56634-9,454
49256-1,448
7791-7,445
6447-7,425
13965-9,423
6864-3,421
13971-7,415
8039-0,414
12203-6,412
2333-3,412
28543-7,408
3095-7,407
11483-5,392
6892-4,391
19108-0,390
19107-2,380
29964-4,380
13954-3,378
2483-6,364
5126-8,357
5244-9,357
2338-2,355
6367-7,347
35670-9,344
30458-4,338
32147-1,333
3181-5,333
3182-3,333
2639-3,332
27819-2,331
4553-4,330
49316-3,330
2615-3,326
5285-2,320
5281-1,320
2697-1,319
6014-5,319
803-7,317
5283-7,316
27057-9,315
35278-1,314
14115-0,313
14251-3,307
35863-0,306
54187-0,306
25452-4,305
29904-0,303
24-0,301
8014-3,300
55447-7,299
27823-4,299
29497-5,292
29498-3,292
30313-1,286
33915-0,284
10366-3,284
33917-6,284
3854-7,284
33916-8,284
21613-5,283
17314-6,274
702-1,270
588-4,270
58418-5,269
6371-9,268
54176-3,265
25418-5,264
53874-4,261
35410-0,261
30465-9,261
24111-7,260
2748-2,248
54906-3,247
54905-5,247
34701-3,247
6412-1,247
44871-2,246
6913-8,242
6920-3,242
6919-5,242
6917-9,242
6916-1,242
15212-4,242
6914-6,242
2671-6,241
47699-4,241
44342-4,241
19049-6,241
32361-8,239
5631-7,234
5274-6,233
5273-8,233
29944-6,233
19225-2,228
24027-5,228
34319-4,227
2714-4,226
2030-5,226
30571-4,221
3122-9,221
50948-9,221
189-1,220
31037-5,214
44909-0,212
31203-3,212
1695-6,212
58448-2,207
14958-3,207
13734-9,207
2232-7,207
2218-6,207
44341-6,207
2668-2,207
44316-8,207
5385-0,206
35788-9,204
2053-7,197
14956-7,194
1668-3,193
68961-2,192
5060-9,190
5109-4,187
13953-5,187
5111-0,187
5113-6,187
5103-7,187
5107-8,187
5105-2,187
2466-1,186
2468-7,186
2467-9,186
2469-5,186
42355-8,181
7792-5,179
2064-4,171
10381-2,171
32146-3,169
32286-7,168
44288-9,167
35668-3,164
20573-2,156
20574-0,156
249-3,156
5176-3,155
13760-4,155
3187-2,155
49269-4,155
12715-9,155
50595-8,152
73977-1,151
31788-3,150
2666-6,149
49257-9,149
2216-0,149
2230-1,149
2839-9,147
27948-9,146
34316-0,146
253-5,146
41399-7,146
9709-7,142
9708-9,142
26706-2,141
32853-4,141
9757-6,140
49229-8,140
31183-7,139
30153-1,139
42771-6,139
25296-5,139
27389-6,139
27387-0,139
27395-3,139
27374-8,139
27390-4,139
27118-9,139
27113-0,139
27392-0,139
27096-7,139
27092-6,139
27094-2,139
1974-5,138
5671-3,135
21422-1,135
10451-3,135
11139-3,135
55135-8,134
17780-8,134
6954-2,134
65633-0,134
6955-9,134
11034-6,132
17783-2,132
11046-0,129
2217-8,129
2667-4,129
52756-4,128
13227-4,128
2842-3,127
13514-5,126
5763-8,125
43734-3,124
5057-5,124
13927-9,124
58466-4,123
21582-2,122
29891-9,118
9361-7,118
9360-9,118
53595-5,117
42937-3,116
5685-3,115
42330-1,114
14194-5,112
32789-0,112
10580-9,112
2752-4,112
3160-9,112
9780-8,112
8855-9,112
14170-5,112
10622-9,111
10611-2,111
15376-7,111
10620-3,110
48702-5,109
4532-8,109
11259-9,108
19053-8,108
3853-9,106
35140-3,106
30557-3,106
10365-5,106
14336-2,105
5098-9,103
34376-4,102
33959-8,101
2270-7,101
41491-2,101
41492-0,101
5146-6,101
12598-9,101
5144-1,101
41489-6,101
1825-9,100
2513-0,100
48792-6,100
48793-4,100
48794-2,100
29535-2,100
48795-9,100
1869-7,100
1835-8,100
29536-0,100
1743-4,100
11274-8,99
36-4,99
3243-3,98
3052-8,98
3125-2,96
26010-9,95
15013-6,95
3185-6,95
15015-1,95
5955-0,92
1657-6,92
205-5,91
721-1,89
2779-7,88
2778-9,88
5232-4,88
13917-0,87
44448-9,85
44449-7,85
29998-2,85
26881-3,84
47393-4,83
3432-2,83
1854-9,83
10380-4,83
5370-2,82
3218-5,80
41871-5,80
774-0,80
31024-3,80
51952-0,80
51951-2,80
20495-8,79
33939-0,79
335-0,77
5290-2,77
31146-4,77
5583-0,76
29512-1,76
5222-5,76
3226-8,75
56965-7,75
29996-6,74
21362-9,73
5809-9,73
428-3,72
4635-9,71
15345-2,68
1-8,67
27812-7,67
3021-3,66
256-8,66
2861-3,66
15346-0,66
6012-9,64
4991-6,64
55136-6,63
55137-4,63
5325-6,62
54247-2,62
5324-9,62
2464-6,61
14116-8,61
1756-6,61
48668-8,61
2470-3,61
396-2,61
49293-4,61
1746-7,61
12782-9,61
49054-0,60
5308-2,60
5307-4,60
31140-7,60
3298-7,60
49543-2,60
42913-4,58
19124-7,58
24447-5,58
5053-4,56
24312-1,56
21027-8,56
29963-6,56
26516-5,56
49852-7,55
55180-4,55
9537-2,55
2641-9,55
680-9,55
4049-3,54
2829-0,53
10864-7,53
32-3,53
38415-6,53
2923-1,52
38496-6,52
241-0,49
3050-2,49
3198-9,49
3193-0,49
2617-9,49
3087-4,48
21587-1,48
44-8,48
5052-6,47
14334-7,46
3714-3,46
14235-6,46
7797-4,44
20420-6,44
27831-7,43
4545-0,43
32819-5,42
40768-4,41
30464-2,40
21563-2,40
6948-4,40
173-5,39
39789-3,38
327-7,38
41649-5,38
3237-5,38
39791-9,38
47977-4,37
30350-3,37
19227-8,35
51774-8,35
5908-9,34
3179-9,34
3948-7,34
1765-7,33
5213-4,33
2961-1,33
2032-1,33
3126-0,33
69367-1,32
728-6,31
666-8,31
51729-2,30
51703-7,30
9656-0,30
5609-3,30
17781-6,30
44706-0,30
3330-8,29
6774-4,29
27222-9,29
2701-1,29
17016-7,28
28005-7,28
28060-2,28
31438-5,28
17015-9,28
31437-7,28
3232-6,28
29893-5,27
5724-0,27
42768-2,27
10835-7,27
30361-0,27
69668-2,27
12736-5,26
5645-7,26
13876-8,25
4484-2,25
32637-1,23
16100-0,23
424-2,23
802-9,23
14286-9,23
6765-2,23
9838-4,23
287-3,22
1799-6,22
779-9,21
3559-2,21
18337-6,21
10989-2,21
23826-1,21
29723-4,21
35800-2,20
13914-7,20
5042-7,20
32769-2,19
31111-8,19
25757-6,19
16875-7,19
9522-4,19
20570-8,19
1964-6,19
20-8,19
1903-4,19
4477-6,18
13590-5,18
741-9,17
2898-5,16
56031-8,16
5199-5,16
13291-0,16
7795-8,16
47828-9,15
14207-5,15
13759-6,14
6884-1,14
5211-8,14
1809-3,14
2492-7,14
2431-5,14
1805-1,14
2351-5,14
2350-7,14
55928-6,14
26842-5,14
3093-2,13
20496-6,13
1656-8,13
16142-2,13
48346-1,12
6733-0,12
18319-4,12
6821-3,12
30078-0,12
13363-7,12
6818-9,12
6810-6,12
6809-8,12
6808-0,12
2258-2,11
33009-2,11
1871-3,11
4024-6,11
4659-9,10
2693-0,10
7793-3,9
2950-4,9
765-8,9
738-5,9
29994-1,9
460-6,9
33311-2,8
32674-4,8
1690-7,8
50670-9,8
11281-3,8
504-1,8
45313-4,7
13873-5,7
38175-6,7
53972-6,7
63420-4,7
63557-3,7
45315-9,7
5187-0,7
3616-0,6
21383-5,6
27201-3,6
26688-2,6
2821-7,6
2811-8,6
14883-3,6
14882-5,6
21610-1,6
265-9,6
5225-8,6
6693-6,6
14121-8,6
6349-5,6
5765-3,6
12480-0,5
2870-4,5
2873-8,5
34645-2,5
7959-0,5
2864-7,5
5183-9,5
52999-0,5
2876-1,5
2867-0,5
408-5,5
15207-4,5
15202-5,5
15158-9,5
7798-2,5
49228-0,4
2254-1,4
21130-0,4
2335-8,4
4040-2,4
14273-7,4
13828-9,4
3924-8,4
5612-7,4
17522-4,4
3638-4,4
703-9,3
28660-9,3
108-1,3
3002-3,3
2072-7,3
25303-9,3
801-1,3
15066-4,3
5683-8,3
22632-4,2
21668-9,2
2187-3,2
25896-2,2
3978-4,2
14689-4,2
14785-0,2
29956-0,2
41173-6,2
27810-1,2
4462-8,2
41237-9,2
27038-9,2
41289-0,1
972-0,1
10360-6,1
21657-2,1
18311-1,1
550-4,1
38534-4,1
6901-3,1
80-2,1
375-6,1
120-6,1
3494-2,1
291-5,1
16623-1,1
49231-4,1
48726-4,1
31036-7,1
31138-1,1
16099-4,1
